rep,envscenario,comp,mean_alpha
31,10,stable,2.2
31,11,equal,1.02
31,11,stable,2.37
31,12,equal,1.01
31,12,stable,2.29
31,13,equal,1
31,13,stable,2.48
31,14,equal,1.01
31,14,stable,2.35
31,15,equal,1
31,15,stable,2.51
31,16,equal,1
31,16,stable,2.4
31,17,equal,1
31,17,stable,2.13
31,18,equal,1
31,18,stable,2.1
31,19,equal,1
31,19,stable,2.37
31,20,equal,1
31,20,stable,2.19
32,1,equal,1.12
32,1,stable,3.72
32,2,equal,1.17
32,2,stable,3.95
32,3,equal,1.07
32,3,stable,3.77
32,4,equal,1.21
32,4,stable,4.2
32,5,equal,1.18
32,5,stable,3.66
32,6,equal,1.14
32,6,stable,4.46
32,7,equal,1.16
32,7,stable,3.84
32,8,equal,1.1
32,8,stable,3
32,9,equal,1.12
32,9,stable,4.23
32,10,equal,1.19
32,10,stable,3.24
32,11,equal,1.17
32,11,stable,3.86
32,12,equal,1.16
32,12,stable,3.81
32,13,equal,1.2
32,13,stable,3.12
32,14,equal,1.27
32,14,stable,3.38
32,15,equal,1.2
32,15,stable,3.85
32,16,equal,1.19
32,16,stable,3.21
32,17,equal,1.17
32,17,stable,3.97
32,18,equal,1.16
32,18,stable,3.78
32,19,equal,1.18
32,19,stable,3.66
32,20,equal,1.1
32,20,stable,4.18
33,1,equal,1.01
33,1,stable,1.96
33,2,equal,1.01
33,2,stable,1.97
33,3,equal,1.02
33,3,stable,2.3
33,4,equal,1
33,4,stable,1.92
33,5,equal,1.01
33,5,stable,2.26
33,6,equal,1.02
33,6,stable,2.15
33,7,equal,1.01
33,7,stable,2.04
33,8,equal,1
33,8,stable,2.14
33,9,equal,1
33,9,stable,2.36
33,10,equal,1.03
33,10,stable,2.27
33,11,equal,1.01
33,11,stable,2.4
33,12,equal,1.04
33,12,stable,2.22
33,13,equal,1
33,13,stable,2.08
33,14,equal,1
33,14,stable,2.13
33,15,equal,1
33,15,stable,2.63
33,16,equal,1.01
33,16,stable,2.15
33,17,equal,1.02
33,17,stable,2.07
33,18,equal,1.02
33,18,stable,1.97
33,19,equal,0.99
33,19,stable,2.05
33,20,equal,1.01
33,20,stable,1.93
34,1,equal,1.22
34,1,stable,3.35
34,2,equal,1.32
